"fecha";"carga.estimada";"carga.liminf";"carga.lisup"
"2020-04-01";438;387;495
"2020-04-02";397;349;447
"2020-04-03";387;337;430
"2020-04-04";376;323;424
"2020-04-05";333;289;379
"2020-04-06";431;375;485
"2020-04-07";391;346;437
"2020-04-08";396;354;451
"2020-04-09";431;375;495
"2020-04-10";436;390;487
"2020-04-11";362;311;411
"2020-04-12";374;325;427
"2020-04-13";551;499;609
"2020-04-14";515;457;587
"2020-04-15";610;560;673
"2020-04-16";585;519;648
"2020-04-17";579;520;642
"2020-04-18";543;482;597
"2020-04-19";547;483;610
"2020-04-20";921;846;997
"2020-04-21";743;672;832
"2020-04-22";815;737;888
"2020-04-23";897;814;975
"2020-04-24";1092;1012;1175
"2020-04-25";1067;988;1155
"2020-04-26";1102;1006;1187
"2020-04-27";1743;1632;1852
"2020-04-28";1699;1579;1810
"2020-04-29";1726;1643;1824
"2020-04-30";2072;1942;2201
"2020-05-01";2915;2780;3050
"2020-05-02";2719;2600;2835
"2020-05-03";2830;2684;2964
"2020-05-04";3906;3744;4055
"2020-05-05";3554;3406;3692
"2020-05-06";3573;3403;3758
"2020-05-07";3697;3534;3860
"2020-05-08";4177;4021;4367
"2020-05-09";3975;3791;4141
"2020-05-10";4330;4157;4520
"2020-05-11";5222;5017;5422
"2020-05-12";4725;4544;4915
"2020-05-13";4272;4107;4443
"2020-05-14";4170;3996;4341
"2020-05-15";5319;5127;5517
"2020-05-16";4722;4540;4891
"2020-05-17";4656;4485;4834
"2020-05-18";5963;5759;6162
"2020-05-19";5021;4820;5230
"2020-05-20";5862;5660;6048
"2020-05-21";4691;4494;4860
"2020-05-22";5628;5403;5811
"2020-05-23";5086;4866;5288
"2020-05-24";4586;4403;4770
"2020-05-25";6222;6026;6457
"2020-05-26";4919;4732;5100
"2020-05-27";5004;4816;5174
"2020-05-28";5069;4880;5250
"2020-05-29";5283;5083;5478
"2020-05-30";4883;4690;5050
"2020-05-31";4444;4256;4644
"2020-06-01";7112;6832;7370
"2020-06-02";4748;4567;4932
"2020-06-03";4564;4385;4781
"2020-06-04";4509;4342;4660
"2020-06-05";5176;4954;5342
"2020-06-06";4500;4322;4678
"2020-06-07";3999;3790;4190
"2020-06-08";5329;5127;5532
"2020-06-09";4164;3986;4363
"2020-06-10";4437;4243;4652
"2020-06-11";4006;3843;4175
"2020-06-12";4541;4359;4738
"2020-06-13";4216;4071;4356
"2020-06-14";3755;3594;3941
"2020-06-15";4818;4650;5005
"2020-06-16";4142;3981;4295
"2020-06-17";3740;3574;3895
"2020-06-18";3878;3699;4035
"2020-06-19";3993;3825;4153
"2020-06-20";3760;3586;3930
"2020-06-21";3086;2939;3206
"2020-06-22";3807;3618;3988
"2020-06-23";3405;3246;3563
"2020-06-24";3200;3057;3360
"2020-06-25";3087;2935;3233
"2020-06-26";3188;3066;3335
"2020-06-27";2714;2583;2863
"2020-06-28";2565;2420;2703
"2020-06-29";2740;2601;2913
"2020-06-30";2970;2833;3109
"2020-07-01";3261;3118;3417
"2020-07-02";2429;2280;2553
"2020-07-03";2589;2427;2712
"2020-07-04";2358;2214;2488
"2020-07-05";2245;2117;2367
"2020-07-06";2804;2671;2942
"2020-07-07";2420;2275;2572
"2020-07-08";2250;2101;2382
"2020-07-09";2203;2078;2337
"2020-07-10";2509;2355;2647
"2020-07-11";2009;1889;2113
"2020-07-12";1943;1835;2040
"2020-07-13";2389;2274;2524
"2020-07-14";2182;2070;2307
"2020-07-15";2082;1974;2200
"2020-07-16";1781;1673;1895
"2020-07-17";2203;2060;2333
"2020-07-18";1970;1866;2087
"2020-07-19";1677;1578;1773
"2020-07-20";2415;2288;2550
"2020-07-21";2032;1905;2155
"2020-07-22";1964;1855;2080
"2020-07-23";2066;1955;2198
"2020-07-24";1953;1825;2065
"2020-07-25";1751;1644;1861
"2020-07-26";1522;1414;1633
"2020-07-27";2189;2073;2319
"2020-07-28";1865;1748;1979
"2020-07-29";1770;1646;1871
"2020-07-30";1891;1760;2010
"2020-07-31";1915;1809;2033
"2020-08-01";1924;1798;2038
"2020-08-02";1609;1489;1719
"2020-08-03";2126;2021;2250
"2020-08-04";1977;1865;2113
"2020-08-05";1803;1686;1919
"2020-08-06";1858;1757;1967
"2020-08-07";1854;1739;1973
"2020-08-08";1531;1425;1625
"2020-08-09";1331;1247;1420
"2020-08-10";2058;1954;2196
"2020-08-11";1831;1711;1939
"2020-08-12";1745;1634;1845
"2020-08-13";1626;1519;1737
"2020-08-14";1756;1652;1870
"2020-08-15";1441;1337;1548
"2020-08-16";1310;1214;1408
"2020-08-17";2000;1870;2120
"2020-08-18";1941;1828;2067
"2020-08-19";1805;1685;1924
"2020-08-20";1934;1821;2040
"2020-08-21";1802;1691;1924
"2020-08-22";1478;1373;1590
"2020-08-23";1399;1296;1496
"2020-08-24";2099;1987;2210
"2020-08-25";1982;1846;2114
"2020-08-26";1971;1852;2088
"2020-08-27";1873;1773;2000
"2020-08-28";1988;1844;2135
"2020-08-29";1557;1455;1648
"2020-08-30";1353;1263;1452
"2020-08-31";2137;1997;2272
"2020-09-01";2078;1943;2196
"2020-09-02";1949;1832;2066
"2020-09-03";1923;1783;2038
"2020-09-04";2020;1903;2145
"2020-09-05";1554;1463;1667
"2020-09-06";1325;1223;1430
"2020-09-07";2065;1933;2177
"2020-09-08";1833;1707;1948
"2020-09-09";1758;1655;1862
"2020-09-10";1674;1572;1773
"2020-09-11";1692;1592;1812
"2020-09-12";1368;1273;1452
"2020-09-13";1218;1113;1323
"2020-09-14";1754;1631;1871
"2020-09-15";1638;1523;1746
"2020-09-16";1492;1373;1584
"2020-09-17";1530;1428;1642
"2020-09-18";1333;1243;1435
"2020-09-19";1279;1179;1362
"2020-09-20";1435;1333;1549
"2020-09-21";2049;1926;2160
"2020-09-22";1727;1603;1836
"2020-09-23";1718;1604;1823
"2020-09-24";1678;1566;1800
"2020-09-25";1817;1712;1947
"2020-09-26";1365;1272;1455
"2020-09-27";1206;1103;1302
"2020-09-28";2028;1919;2146
"2020-09-29";1570;1468;1661
"2020-09-30";1472;1374;1586
"2020-10-01";1664;1563;1764
"2020-10-02";1640;1534;1748
"2020-10-03";1300;1203;1397
"2020-10-04";1130;1047;1214
"2020-10-05";1710;1610;1817
"2020-10-06";1642;1519;1764
"2020-10-07";1498;1399;1596
"2020-10-08";1569;1469;1672
"2020-10-09";1555;1455;1636
"2020-10-10";1378;1298;1489
"2020-10-11";1087;1007;1170
"2020-10-12";1384;1288;1487
"2020-10-13";1762;1649;1889
"2020-10-14";1637;1545;1756
"2020-10-15";1575;1462;1685
"2020-10-16";1504;1401;1608
"2020-10-17";1227;1147;1316
"2020-10-18";1121;1039;1205
"2020-10-19";1724;1614;1844
"2020-10-20";1531;1428;1640
"2020-10-21";1398;1297;1493
"2020-10-22";1332;1234;1443
"2020-10-23";1368;1279;1462
"2020-10-24";1140;1053;1230
"2020-10-25";1066;977;1148
"2020-10-26";1613;1499;1733
"2020-10-27";1565;1463;1680
"2020-10-28";1518;1412;1650
"2020-10-29";1291;1192;1399
"2020-10-30";1342;1223;1432
"2020-10-31";1101;1013;1191
"2020-11-01";1118;1033;1214
"2020-11-02";1738;1644;1849
"2020-11-03";1482;1386;1592
"2020-11-04";1386;1290;1492
"2020-11-05";1373;1276;1478
"2020-11-06";1387;1286;1505
"2020-11-07";1185;1095;1262
"2020-11-08";1088;1000;1175
"2020-11-09";1672;1561;1777
"2020-11-10";1569;1461;1660
"2020-11-11";1430;1338;1523
"2020-11-12";1337;1240;1440
"2020-11-13";1345;1242;1426
"2020-11-14";1149;1071;1225
"2020-11-15";1054;968;1133
"2020-11-16";1593;1484;1694
"2020-11-17";1448;1356;1546
"2020-11-18";1425;1336;1539
"2020-11-19";1447;1354;1558
