"fecha";"region";"servicio.salud";"carga.estimada";"carga.liminf";"carga.lisup"
"2020-04-01";15;151011;9;4;15
"2020-04-02";15;151011;9;4;17
"2020-04-03";15;151011;10;4;17
"2020-04-04";15;151011;11;4;18
"2020-04-05";15;151011;10;4;16
"2020-04-06";15;151011;12;6;21
"2020-04-07";15;151011;11;5;20
"2020-04-08";15;151011;11;4;18
"2020-04-09";15;151011;8;3;15
"2020-04-10";15;151011;8;3;14
"2020-04-11";15;151011;7;2;14
"2020-04-12";15;151011;6;2;12
"2020-04-13";15;151011;8;3;16
"2020-04-14";15;151011;8;3;14
"2020-04-15";15;151011;8;2;14
"2020-04-16";15;151011;8;2;16
"2020-04-17";15;151011;9;3;17
"2020-04-18";15;151011;9;3;16
"2020-04-19";15;151011;9;4;15
"2020-04-20";15;151011;13;6;25
"2020-04-21";15;151011;11;4;17
"2020-04-22";15;151011;10;3;17
"2020-04-23";15;151011;8;3;15
"2020-04-24";15;151011;7;2;15
"2020-04-25";15;151011;7;3;12
"2020-04-26";15;151011;7;2;13
"2020-04-27";15;151011;9;3;17
"2020-04-28";15;151011;9;3;16
"2020-04-29";15;151011;9;3;15
"2020-04-30";15;151011;8;3;14
"2020-05-01";15;151011;7;3;13
"2020-05-02";15;151011;6;2;12
"2020-05-03";15;151011;6;2;12
"2020-05-04";15;151011;8;3;14
"2020-05-05";15;151011;8;3;14
"2020-05-06";15;151011;8;2;14
"2020-05-07";15;151011;7;2;13
"2020-05-08";15;151011;7;2;15
"2020-05-09";15;151011;8;2;14
"2020-05-10";15;151011;8;2;15
"2020-05-11";15;151011;13;6;20
"2020-05-12";15;151011;12;5;19
"2020-05-13";15;151011;12;6;20
"2020-05-14";15;151011;12;6;21
"2020-05-15";15;151011;12;6;20
"2020-05-16";15;151011;15;7;26
"2020-05-17";15;151011;15;7;24
"2020-05-18";15;151011;22;13;33
"2020-05-19";15;151011;22;12;34
"2020-05-20";15;151011;20;11;29
"2020-05-21";15;151011;21;12;33
"2020-05-22";15;151011;21;12;31
"2020-05-23";15;151011;22;14;33
"2020-05-24";15;151011;20;11;31
"2020-05-25";15;151011;25;14;37
"2020-05-26";15;151011;23;13;34
"2020-05-27";15;151011;27;16;39
"2020-05-28";15;151011;28;15;41
"2020-05-29";15;151011;34;22;49
"2020-05-30";15;151011;35;24;48
"2020-05-31";15;151011;32;21;43
"2020-06-01";15;151011;50;36;67
"2020-06-02";15;151011;41;27;57
"2020-06-03";15;151011;37;23;51
"2020-06-04";15;151011;35;22;47
"2020-06-05";15;151011;32;19;44
"2020-06-06";15;151011;34;21;48
"2020-06-07";15;151011;30;20;42
"2020-06-08";15;151011;42;30;57
"2020-06-09";15;151011;40;25;57
"2020-06-10";15;151011;44;29;62
"2020-06-11";15;151011;36;24;51
"2020-06-12";15;151011;37;25;55
"2020-06-13";15;151011;43;29;59
"2020-06-14";15;151011;39;25;55
"2020-06-15";15;151011;46;31;64
"2020-06-16";15;151011;41;29;57
"2020-06-17";15;151011;39;24;56
"2020-06-18";15;151011;39;25;55
"2020-06-19";15;151011;44;29;60
"2020-06-20";15;151011;39;26;55
"2020-06-21";15;151011;38;25;52
"2020-06-22";15;151011;52;38;70
"2020-06-23";15;151011;50;32;68
"2020-06-24";15;151011;41;26;58
"2020-06-25";15;151011;49;34;68
"2020-06-26";15;151011;50;35;69
"2020-06-27";15;151011;56;37;77
"2020-06-28";15;151011;53;36;71
"2020-06-29";15;151011;56;40;73
"2020-06-30";15;151011;62;41;85
"2020-07-01";15;151011;69;48;91
"2020-07-02";15;151011;58;39;77
"2020-07-03";15;151011;63;43;80
"2020-07-04";15;151011;63;44;82
"2020-07-05";15;151011;66;48;86
"2020-07-06";15;151011;92;68;117
"2020-07-07";15;151011;77;55;100
"2020-07-08";15;151011;97;71;123
"2020-07-09";15;151011;96;74;121
"2020-07-10";15;151011;117;92;146
"2020-07-11";15;151011;91;68;115
"2020-07-12";15;151011;86;65;109
"2020-07-13";15;151011;112;87;141
"2020-07-14";15;151011;96;73;123
"2020-07-15";15;151011;109;86;135
"2020-07-16";15;151011;106;83;131
"2020-07-17";15;151011;127;101;156
"2020-07-18";15;151011;113;88;140
"2020-07-19";15;151011;92;66;120
"2020-07-20";15;151011;136;105;165
"2020-07-21";15;151011;112;87;140
"2020-07-22";15;151011;122;96;150
"2020-07-23";15;151011;95;70;120
"2020-07-24";15;151011;88;65;112
"2020-07-25";15;151011;83;63;107
"2020-07-26";15;151011;75;57;97
"2020-07-27";15;151011;118;92;144
"2020-07-28";15;151011;91;71;116
"2020-07-29";15;151011;69;51;92
"2020-07-30";15;151011;81;62;106
"2020-07-31";15;151011;82;61;100
"2020-08-01";15;151011;84;64;108
