"fecha";"carga.estimada";"carga.liminf";"carga.lisup"
"2020-04-01";467;418;526
"2020-04-02";396;349;450
"2020-04-03";393;335;446
"2020-04-04";388;336;444
"2020-04-05";350;302;400
"2020-04-06";426;377;495
"2020-04-07";393;342;449
"2020-04-08";404;357;451
"2020-04-09";432;380;489
"2020-04-10";449;393;497
"2020-04-11";361;317;416
"2020-04-12";391;343;449
"2020-04-13";550;490;612
"2020-04-14";507;451;568
"2020-04-15";629;560;698
"2020-04-16";583;518;655
"2020-04-17";588;531;643
"2020-04-18";551;494;617
"2020-04-19";548;484;619
"2020-04-20";935;851;1015
"2020-04-21";736;657;812
"2020-04-22";816;737;898
"2020-04-23";894;803;987
"2020-04-24";1084;1001;1169
"2020-04-25";1070;988;1158
"2020-04-26";1114;1024;1211
"2020-04-27";1731;1609;1842
"2020-04-28";1696;1585;1810
"2020-04-29";1708;1605;1825
"2020-04-30";2038;1932;2172
"2020-05-01";2894;2748;3051
"2020-05-02";2659;2517;2797
"2020-05-03";2810;2657;2967
"2020-05-04";3781;3608;3960
"2020-05-05";3467;3300;3594
"2020-05-06";3488;3299;3651
"2020-05-07";3599;3439;3768
"2020-05-08";4115;3946;4276
"2020-05-09";3908;3731;4095
"2020-05-10";4318;4144;4530
"2020-05-11";5174;4954;5376
"2020-05-12";4686;4513;4880
"2020-05-13";4222;4043;4409
"2020-05-14";4101;3922;4279
"2020-05-15";5266;5054;5474
"2020-05-16";4670;4496;4870
"2020-05-17";4622;4446;4811
"2020-05-18";5848;5638;6072
"2020-05-19";4937;4754;5150
"2020-05-20";5779;5561;5969
"2020-05-21";4593;4419;4786
"2020-05-22";5538;5335;5752
"2020-05-23";5053;4847;5252
"2020-05-24";4554;4373;4717
"2020-05-25";6170;5949;6361
"2020-05-26";4801;4610;5010
"2020-05-27";4882;4680;5057
"2020-05-28";4968;4819;5152
"2020-05-29";5226;5024;5393
"2020-05-30";4841;4657;5049
"2020-05-31";4419;4253;4592
"2020-06-01";7012;6758;7252
"2020-06-02";4685;4511;4876
"2020-06-03";4508;4317;4699
"2020-06-04";4482;4276;4653
"2020-06-05";5130;4964;5321
"2020-06-06";4491;4317;4643
"2020-06-07";3977;3808;4133
"2020-06-08";5266;5067;5439
"2020-06-09";4103;3963;4284
"2020-06-10";4389;4208;4579
"2020-06-11";3909;3746;4055
"2020-06-12";4479;4303;4675
"2020-06-13";4154;3992;4341
"2020-06-14";3716;3567;3859
"2020-06-15";4690;4503;4860
"2020-06-16";4018;3862;4197
"2020-06-17";3682;3519;3863
"2020-06-18";3801;3642;3985
"2020-06-19";3913;3757;4084
"2020-06-20";3724;3563;3891
"2020-06-21";3081;2941;3234
"2020-06-22";3719;3545;3873
"2020-06-23";3352;3207;3492
"2020-06-24";3130;2983;3264
"2020-06-25";3010;2883;3182
"2020-06-26";3120;2946;3278
"2020-06-27";2664;2533;2825
"2020-06-28";2566;2415;2694
"2020-06-29";2698;2555;2839
"2020-06-30";2909;2781;3046
"2020-07-01";3227;3076;3370
"2020-07-02";2363;2240;2500
"2020-07-03";2585;2449;2711
"2020-07-04";2331;2209;2466
"2020-07-05";2256;2127;2397
"2020-07-06";2764;2624;2901
"2020-07-07";2412;2253;2542
"2020-07-08";2212;2091;2327
"2020-07-09";2162;2038;2289
"2020-07-10";2481;2355;2619
"2020-07-11";1966;1848;2081
"2020-07-12";1913;1784;2057
"2020-07-13";2334;2202;2458
"2020-07-14";2172;2041;2297
"2020-07-15";2055;1939;2174
"2020-07-16";1741;1629;1857
"2020-07-17";2182;2054;2314
"2020-07-18";1946;1823;2077
"2020-07-19";1654;1547;1776
"2020-07-20";2372;2216;2506
"2020-07-21";1985;1886;2105
"2020-07-22";1928;1810;2047
"2020-07-23";2032;1913;2155
"2020-07-24";1906;1789;2015
"2020-07-25";1735;1629;1862
"2020-07-26";1511;1425;1612
"2020-07-27";2147;2033;2278
"2020-07-28";1814;1697;1932
"2020-07-29";1706;1592;1814
"2020-07-30";1872;1768;1988
"2020-07-31";1891;1796;2035
"2020-08-01";1922;1813;2040
"2020-08-02";1612;1496;1714
"2020-08-03";2071;1948;2202
"2020-08-04";1912;1806;2040
"2020-08-05";1753;1633;1865
"2020-08-06";1813;1697;1931
"2020-08-07";1805;1696;1910
"2020-08-08";1499;1378;1600
"2020-08-09";1368;1237;1504
"2020-08-10";2100;1936;2267
"2020-08-11";1874;1699;2035
"2020-08-12";1793;1627;1946
"2020-08-13";1647;1514;1784
"2020-08-14";1815;1650;1985
"2020-08-15";1475;1344;1626
"2020-08-16";1446;1231;1648
"2020-08-17";2120;1863;2398
"2020-08-18";2088;1828;2391
"2020-08-19";1952;1707;2239
"2020-08-20";2071;1829;2331
"2020-08-21";1910;1653;2157
"2020-08-22";1583;1363;1789
"2020-08-23";1647;1323;1910
"2020-08-24";2415;1924;2772
"2020-08-25";2222;1762;2583
"2020-08-26";2230;1762;2577
"2020-08-27";2158;1712;2502
"2020-08-28";2213;1764;2522
"2020-08-29";1761;1423;2032
"2020-08-30";1630;1286;2045
"2020-08-31";2714;2141;3473
"2020-09-01";2476;1919;3123
"2020-09-02";2677;2112;3366
"2020-09-03";2600;2032;3377
"2020-09-04";2231;1716;2826
"2020-09-05";1641;1187;2233
