"fecha";"region";"carga.estimada";"carga.liminf";"carga.lisup"
"2020-04-01";15;9;4;17
"2020-04-02";15;10;4;17
"2020-04-03";15;10;4;20
"2020-04-04";15;13;6;22
"2020-04-05";15;11;5;18
"2020-04-06";15;11;5;20
"2020-04-07";15;10;5;19
"2020-04-08";15;11;6;19
"2020-04-09";15;9;3;16
"2020-04-10";15;8;2;15
"2020-04-11";15;7;2;13
"2020-04-12";15;7;2;13
"2020-04-13";15;7;2;14
"2020-04-14";15;6;2;12
"2020-04-15";15;7;2;14
"2020-04-16";15;8;2;16
"2020-04-17";15;10;3;18
"2020-04-18";15;10;4;19
"2020-04-19";15;11;4;19
"2020-04-20";15;13;6;21
"2020-04-21";15;10;4;17
"2020-04-22";15;10;4;18
"2020-04-23";15;8;3;14
"2020-04-24";15;8;2;13
"2020-04-25";15;7;2;14
"2020-04-26";15;8;2;14
"2020-04-27";15;7;2;15
"2020-04-28";15;8;3;15
"2020-04-29";15;9;4;15
"2020-04-30";15;8;2;14
"2020-05-01";15;7;2;13
"2020-05-02";15;6;1;12
"2020-05-03";15;7;2;13
"2020-05-04";15;6;1;12
"2020-05-05";15;6;2;12
"2020-05-06";15;7;2;15
"2020-05-07";15;7;2;13
"2020-05-08";15;8;3;14
"2020-05-09";15;8;4;15
"2020-05-10";15;10;4;16
"2020-05-11";15;12;5;22
"2020-05-12";15;11;5;19
"2020-05-13";15;13;5;21
"2020-05-14";15;13;5;22
"2020-05-15";15;13;6;20
"2020-05-16";15;16;8;25
"2020-05-17";15;16;7;26
"2020-05-18";15;20;10;30
"2020-05-19";15;22;12;34
"2020-05-20";15;19;10;32
"2020-05-21";15;22;11;36
"2020-05-22";15;21;11;31
"2020-05-23";15;23;14;37
"2020-05-24";15;21;12;31
"2020-05-25";15;22;13;34
"2020-05-26";15;21;11;35
"2020-05-27";15;26;17;41
"2020-05-28";15;27;14;41
"2020-05-29";15;33;20;47
"2020-05-30";15;37;25;53
"2020-05-31";15;33;21;47
"2020-06-01";15;50;34;69
"2020-06-02";15;39;25;54
"2020-06-03";15;37;23;50
"2020-06-04";15;35;22;52
"2020-06-05";15;31;19;46
"2020-06-06";15;37;23;55
"2020-06-07";15;32;19;45
"2020-06-08";15;38;24;53
"2020-06-09";15;37;24;56
"2020-06-10";15;45;29;63
"2020-06-11";15;36;23;52
"2020-06-12";15;36;23;51
"2020-06-13";15;48;32;64
"2020-06-14";15;42;28;58
"2020-06-15";15;44;28;63
"2020-06-16";15;40;24;55
"2020-06-17";15;37;24;54
"2020-06-18";15;38;22;53
"2020-06-19";15;47;29;66
"2020-06-20";15;39;25;53
"2020-06-21";15;43;30;61
"2020-06-22";15;49;33;68
"2020-06-23";15;50;34;69
"2020-06-24";15;39;25;54
"2020-06-25";15;48;32;67
"2020-06-26";15;52;34;70
"2020-06-27";15;58;39;80
"2020-06-28";15;58;40;76
"2020-06-29";15;52;33;70
"2020-06-30";15;61;44;83
"2020-07-01";15;70;49;90
"2020-07-02";15;56;38;75
"2020-07-03";15;62;46;81
"2020-07-04";15;64;45;84
"2020-07-05";15;70;47;91
"2020-07-06";15;91;67;117
"2020-07-07";15;71;49;98
"2020-07-08";15;95;71;119
"2020-07-09";15;93;68;120
"2020-07-10";15;120;95;146
"2020-07-11";15;92;70;118
"2020-07-12";15;91;65;118
"2020-07-13";15;109;85;137
"2020-07-14";15;94;68;120
"2020-07-15";15;112;90;142
"2020-07-16";15;105;81;135
"2020-07-17";15;123;94;149
"2020-07-18";15;116;92;148
"2020-07-19";15;94;70;118
"2020-07-20";15;135;110;160
"2020-07-21";15;106;82;132
"2020-07-22";15;128;100;154
"2020-07-23";15;96;71;121
"2020-07-24";15;87;62;112
"2020-07-25";15;83;62;108
"2020-07-26";15;79;61;105
"2020-07-27";15;115;93;142
"2020-07-28";15;89;68;113
"2020-07-29";15;65;47;86
"2020-07-30";15;81;58;105
"2020-07-31";15;77;57;97
"2020-08-01";15;83;61;107
"2020-08-02";15;83;62;111
"2020-08-03";15;93;69;116
"2020-08-04";15;88;65;115
"2020-08-05";15;99;72;139
"2020-08-06";15;102;76;132
"2020-08-07";15;78;57;104
"2020-08-08";15;77;56;103
"2020-08-09";15;74;52;105
"2020-08-10";15;69;45;96
"2020-08-11";15;83;60;114
"2020-08-12";15;74;50;97
"2020-08-13";15;64;44;90
"2020-08-14";15;74;52;98
"2020-08-15";15;67;47;94
"2020-08-16";15;71;46;103
"2020-08-17";15;88;61;125
"2020-08-18";15;99;68;142
"2020-08-19";15;82;52;119
"2020-08-20";15;67;42;94
"2020-08-21";15;65;43;93
"2020-08-22";15;58;39;86
"2020-08-23";15;55;33;84
"2020-08-24";15;72;43;113
"2020-08-25";15;69;43;107
"2020-08-26";15;93;61;153
"2020-08-27";15;98;62;162
"2020-08-28";15;103;62;182
"2020-08-29";15;97;50;205
"2020-04-01";1;4;0;9
"2020-04-02";1;4;1;10
"2020-04-03";1;5;1;11
"2020-04-04";1;5;1;11
"2020-04-05";1;5;1;11
"2020-04-06";1;5;1;11
"2020-04-07";1;6;1;11
"2020-04-08";1;6;1;12
