codigo_region,region_residencia,fecha,Porcentaje Camas UCI
01,Región de Tarapacá,2020-04-14,53.85
01,Región de Tarapacá,2020-04-15,46.15
01,Región de Tarapacá,2020-04-16,46.15
01,Región de Tarapacá,2020-04-17,30.77
01,Región de Tarapacá,2020-04-18,40.0
01,Región de Tarapacá,2020-04-19,33.33
01,Región de Tarapacá,2020-04-20,26.67
01,Región de Tarapacá,2020-04-21,36.36
01,Región de Tarapacá,2020-04-22,50.0
01,Región de Tarapacá,2020-04-23,54.55
01,Región de Tarapacá,2020-04-24,45.45
01,Región de Tarapacá,2020-04-25,63.64
01,Región de Tarapacá,2020-04-26,54.55
01,Región de Tarapacá,2020-04-27,54.55
01,Región de Tarapacá,2020-04-28,45.45
01,Región de Tarapacá,2020-04-29,45.45
01,Región de Tarapacá,2020-04-30,45.45
01,Región de Tarapacá,2020-05-01,50.0
01,Región de Tarapacá,2020-05-02,50.0
01,Región de Tarapacá,2020-05-03,66.67
01,Región de Tarapacá,2020-05-04,58.33
01,Región de Tarapacá,2020-05-05,57.14
01,Región de Tarapacá,2020-05-06,78.57
01,Región de Tarapacá,2020-05-07,78.57
01,Región de Tarapacá,2020-05-08,78.57
01,Región de Tarapacá,2020-05-09,85.71
01,Región de Tarapacá,2020-05-10,71.43
01,Región de Tarapacá,2020-05-11,78.57
01,Región de Tarapacá,2020-05-12,85.71
01,Región de Tarapacá,2020-05-13,95.24
01,Región de Tarapacá,2020-05-14,95.45
01,Región de Tarapacá,2020-05-15,95.45
01,Región de Tarapacá,2020-05-16,91.3
01,Región de Tarapacá,2020-05-17,95.65
01,Región de Tarapacá,2020-05-18,75.86
01,Región de Tarapacá,2020-05-19,72.41
01,Región de Tarapacá,2020-05-20,89.66
01,Región de Tarapacá,2020-05-21,96.55
01,Región de Tarapacá,2020-05-22,79.31
01,Región de Tarapacá,2020-05-23,72.41
01,Región de Tarapacá,2020-05-24,72.41
01,Región de Tarapacá,2020-05-25,62.07
01,Región de Tarapacá,2020-05-26,47.06
01,Región de Tarapacá,2020-05-27,79.41
01,Región de Tarapacá,2020-05-28,85.29
01,Región de Tarapacá,2020-05-29,79.41
01,Región de Tarapacá,2020-05-30,88.24
01,Región de Tarapacá,2020-05-31,88.24
01,Región de Tarapacá,2020-06-01,85.29
01,Región de Tarapacá,2020-06-02,91.18
01,Región de Tarapacá,2020-06-03,94.12
01,Región de Tarapacá,2020-06-04,97.5
01,Región de Tarapacá,2020-06-05,97.5
01,Región de Tarapacá,2020-06-06,90.91
01,Región de Tarapacá,2020-06-07,95.45
01,Región de Tarapacá,2020-06-08,93.62
01,Región de Tarapacá,2020-06-09,95.74
01,Región de Tarapacá,2020-06-10,97.87
01,Región de Tarapacá,2020-06-11,95.92
01,Región de Tarapacá,2020-06-12,95.74
01,Región de Tarapacá,2020-06-13,95.92
01,Región de Tarapacá,2020-06-14,84.91
01,Región de Tarapacá,2020-06-15,82.0
01,Región de Tarapacá,2020-06-16,84.0
01,Región de Tarapacá,2020-06-17,80.0
01,Región de Tarapacá,2020-06-18,80.0
01,Región de Tarapacá,2020-06-19,85.71
01,Región de Tarapacá,2020-06-20,83.67
01,Región de Tarapacá,2020-06-21,75.51
01,Región de Tarapacá,2020-06-22,73.47
01,Región de Tarapacá,2020-06-23,75.51
01,Región de Tarapacá,2020-06-24,79.59
01,Región de Tarapacá,2020-06-25,90.7
01,Región de Tarapacá,2020-06-26,88.37
01,Región de Tarapacá,2020-06-27,83.72
01,Región de Tarapacá,2020-06-28,92.86
01,Región de Tarapacá,2020-06-29,90.48
01,Región de Tarapacá,2020-06-30,92.86
01,Región de Tarapacá,2020-07-01,90.48
01,Región de Tarapacá,2020-07-02,85.71
01,Región de Tarapacá,2020-07-03,80.95
01,Región de Tarapacá,2020-07-04,73.81
01,Región de Tarapacá,2020-07-05,78.57
01,Región de Tarapacá,2020-07-06,76.74
01,Región de Tarapacá,2020-07-07,79.07
01,Región de Tarapacá,2020-07-08,76.74
01,Región de Tarapacá,2020-07-09,76.74
01,Región de Tarapacá,2020-07-10,74.42
01,Región de Tarapacá,2020-07-11,62.79
01,Región de Tarapacá,2020-07-12,72.09
01,Región de Tarapacá,2020-07-13,71.11
01,Región de Tarapacá,2020-07-14,71.11
01,Región de Tarapacá,2020-07-15,62.22
01,Región de Tarapacá,2020-07-16,65.91
01,Región de Tarapacá,2020-07-17,80.49
01,Región de Tarapacá,2020-07-18,78.05
01,Región de Tarapacá,2020-07-19,82.93
01,Región de Tarapacá,2020-07-20,78.57
01,Región de Tarapacá,2020-07-21,78.57
01,Región de Tarapacá,2020-07-22,76.19
01,Región de Tarapacá,2020-07-23,83.33
01,Región de Tarapacá,2020-07-24,76.19
01,Región de Tarapacá,2020-07-25,66.67
01,Región de Tarapacá,2020-07-26,64.29
01,Región de Tarapacá,2020-07-27,61.9
01,Región de Tarapacá,2020-07-28,71.43
01,Región de Tarapacá,2020-07-29,78.57
01,Región de Tarapacá,2020-07-30,78.57
01,Región de Tarapacá,2020-07-31,78.57
01,Región de Tarapacá,2020-08-01,66.67
01,Región de Tarapacá,2020-08-02,61.9
01,Región de Tarapacá,2020-08-03,57.14
01,Región de Tarapacá,2020-08-04,54.76
01,Región de Tarapacá,2020-08-05,52.38
01,Región de Tarapacá,2020-08-06,54.05
01,Región de Tarapacá,2020-08-07,54.05
01,Región de Tarapacá,2020-08-08,64.86
01,Región de Tarapacá,2020-08-09,64.86
01,Región de Tarapacá,2020-08-10,64.86
01,Región de Tarapacá,2020-08-11,70.27
01,Región de Tarapacá,2020-08-12,75.68
01,Región de Tarapacá,2020-08-13,70.27
01,Región de Tarapacá,2020-08-14,72.97
01,Región de Tarapacá,2020-08-15,78.38
01,Región de Tarapacá,2020-08-16,78.38
01,Región de Tarapacá,2020-08-17,81.08
01,Región de Tarapacá,2020-08-18,83.78
01,Región de Tarapacá,2020-08-19,81.08
01,Región de Tarapacá,2020-08-20,75.68
01,Región de Tarapacá,2020-08-21,70.27
01,Región de Tarapacá,2020-08-22,70.27
01,Región de Tarapacá,2020-08-23,67.57
01,Región de Tarapacá,2020-08-24,67.57
01,Región de Tarapacá,2020-08-25,70.27
01,Región de Tarapacá,2020-08-26,72.97
01,Región de Tarapacá,2020-08-27,78.38
01,Región de Tarapacá,2020-08-28,78.38
01,Región de Tarapacá,2020-08-29,66.67
01,Región de Tarapacá,2020-08-30,66.67
01,Región de Tarapacá,2020-08-31,63.89
01,Región de Tarapacá,2020-09-01,58.33
01,Región de Tarapacá,2020-09-02,63.89
01,Región de Tarapacá,2020-09-03,58.33
01,Región de Tarapacá,2020-09-04,58.33
01,Región de Tarapacá,2020-09-05,66.67
01,Región de Tarapacá,2020-09-06,58.33
01,Región de Tarapacá,2020-09-07,58.33
01,Región de Tarapacá,2020-09-08,69.44
01,Región de Tarapacá,2020-09-09,69.44
01,Región de Tarapacá,2020-09-10,61.11
01,Región de Tarapacá,2020-09-11,61.11
01,Región de Tarapacá,2020-09-12,58.82
01,Región de Tarapacá,2020-09-13,58.33
01,Región de Tarapacá,2020-09-14,55.56
01,Región de Tarapacá,2020-09-15,52.78
01,Región de Tarapacá,2020-09-16,58.33
01,Región de Tarapacá,2020-09-17,50.0
01,Región de Tarapacá,2020-09-18,52.78
01,Región de Tarapacá,2020-09-19,50.0
01,Región de Tarapacá,2020-09-20,50.0
